[2025-05-05 11:34:53] This is codeql database index-files --working-dir=. --include-extension=.htm --include-extension=.html --include-extension=.xhtm --include-extension=.xhtml --include-extension=.vue --size-limit 10m --language html -- /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db
[2025-05-05 11:34:53] Log file was started late.
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/usr/bin...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Library...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Library/Developer...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Library/Developer/CommandLineTools...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Library/Developer/CommandLineTools/usr...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Library/Developer/CommandLineTools/usr/bin...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh/extensions...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh/extensions/gh-codeql...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh/extensions/gh-codeql/dist...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh/extensions/gh-codeql/dist/release...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh/extensions/gh-codeql/dist/release/v2.21.0...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh/extensions/gh-codeql/dist/release/v2.21.0/go...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh/extensions/gh-codeql/dist/release/v2.21.0/go/tools...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/Users/hohn/.local/share/gh/extensions/gh-codeql/dist/release/v2.21.0/go/tools/osx64...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/bin...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/go...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/go/1.23.0...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/go/1.23.0/libexec...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/go/1.23.0/libexec/bin...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/go/1.23.0/libexec/pkg...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/go/1.23.0/libexec/pkg/tool...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/go/1.23.0/libexec/pkg/tool/darwin_arm64...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/git...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/git/2.44.0...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/opt/homebrew/Cellar/git/2.44.0/bin...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/database...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/database/sql...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/crypto...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/crypto/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/crypto/internal/nistec...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/crypto/internal/edwards25519...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/crypto/internal/boring...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/crypto/x509...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/crypto/x509/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/compress...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/gopkg.in...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/net...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/net/http...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/net/http/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/regexp...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/archive...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/unicode...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/hash...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/howett.net...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/path...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/io...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/runtime...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/runtime/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/internal/runtime...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/internal/syscall...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/internal/coverage...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/encoding...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/math...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/math/rand...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/container...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/compilations...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/compilations/30...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/Users...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/Users/hohn...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/Users/hohn/work-gh...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/Users/hohn/work-gh/mrva...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/Users/hohn/work-gh/mrva/mrvaserver...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/log...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/log/slog...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/log/slog/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/mime...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/crypto...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/net...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/net/http...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/sys...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/text...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/text/unicode...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/text/secure...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/exp...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/exp/slog...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/golang.org/x/exp/slog/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/os...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/gorilla...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/hohn...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/hohn/mrvacommander...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/hohn/mrvacommander/config...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/hohn/mrvacommander/pkg...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/klauspost...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/klauspost/compress...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/klauspost/compress/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/elastic...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/elastic/go-sysinfo...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/elastic/go-sysinfo/providers...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/elastic/go-sysinfo/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/google...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/rabbitmq...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/rs...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/minio...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/minio/minio-go...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/minio/minio-go/v7...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/minio/minio-go/v7/pkg...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/BurntSushi...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/BurntSushi/toml...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/goccy...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/goccy/go-json...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/goccy/go-json/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/github.com/goccy/go-json/internal/encoder...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/sync...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/crypto...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/crypto/internal...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/crypto/cryptobyte...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/net...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/net/http2...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/net/http...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/net/dns...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/sys...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/text...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/text/unicode...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/trap/go/vendor/golang.org/x/text/secure...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/log...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/src...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/src/Users...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/src/Users/hohn...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/src/Users/hohn/work-gh...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/src/Users/hohn/work-gh/mrva...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/src/Users/hohn/work-gh/mrva/mrvaserver...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects/92...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects/66...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects/50...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects/68...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects/6f...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects/0b...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects/93...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/.git/objects/02...
